room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,property_type,last_modified,latitude,longitude,location
16921825,1419,94598443,Shared room,,Salvador,SALVADOR,VITORIA,0,0.0,3,1.0,,31.0,,Hospedagem p mulheres no Carnaval,Apartment,2017-07-01 20:50:09.502525,-13.00184,-38.527716,0101000020E6100000B8C9A8328C4343C037A6272CF1002AC0
14203122,1419,86178580,Shared room,,Salvador,SALVADOR,VITORIA,0,0.0,1,1.0,,31.0,,Salvador de um ponto de vista maravilhoso,Apartment,2017-07-01 20:50:09.494892,-13.002871,-38.528465,0101000020E6100000520ABABDA44343C0B136C64E78012AC0
17075906,1419,114558732,Shared room,,Salvador,SALVADOR,BROTAS,0,0.0,1,1.0,,14.0,,Local agradavel.,Apartment,2017-07-01 20:50:09.492605,-12.979711,-38.502409,0101000020E6100000A81B28F04E4043C01B1021AE9CF529C0
16404295,1419,47559114,Shared room,,Salvador,SALVADOR,VITORIA,0,0.0,4,1.0,,11.0,,Quarto compartilhado de 4 camas com Café da manha!,Hostel,2017-07-01 20:50:09.490160,-13.012797,-38.490773,0101000020E6100000416150A6D13E43C04DF910548D062AC0
10874028,1419,56335882,Shared room,,Salvador,SALVADOR,AMARALINA,0,0.0,2,1.0,,25.0,,Quarto p/ Carnaval Salvador 1 cama,Dorm,2017-07-01 20:50:09.486849,-13.012739,-38.472649,0101000020E610000059BE2EC37F3C43C07AC4E8B985062AC0
16369122,1419,107206763,Shared room,,Salvador,SALVADOR,AMARALINA,0,0.0,1,1.0,,11.0,,Best locAtion in SaLvador,House,2017-07-01 20:50:05.577116,-13.009487,-38.488255,0101000020E6100000E38DCC237F3E43C06C79E57ADB042AC0
432954,1419,871771,Shared room,,Salvador,SALVADOR,SANTO ANTONIO,0,0.0,3,1.0,,11.0,,Barbalho(Sto Antônio e Pelourinho),Apartment,2017-07-01 20:50:05.574228,-12.966434,-38.501913,0101000020E6100000F83768AF3E4043C0247CEF6FD0EE29C0
2152381,1419,5438365,Shared room,,Salvador,SALVADOR,VITORIA,25,5.0,4,1.0,,10.0,,Carnival shared room w/breakfast in Barra (bed4),Apartment,2017-07-01 20:50:05.570821,-13.007971,-38.526258,0101000020E610000012A1116C5C4343C001A260C614042AC0
16113057,1419,58229858,Shared room,,Salvador,SALVADOR,SE,0,0.0,1,1.0,,11.0,,Hostel Patuá,Dorm,2017-07-01 20:50:05.568632,-12.971333,-38.508836,0101000020E61000008483BD89214143C0170D198F52F129C0
13977877,1419,83373762,Shared room,,Salvador,SALVADOR,SE,0,0.0,8,1.0,,12.0,,Quarto no pelourinho centro historico,Apartment,2017-07-01 20:50:05.565939,-12.974078,-38.509644,0101000020E6100000234DBC033C4143C09581035ABAF229C0
